date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2017-04-05,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-06,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-07,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-11,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-13,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-17,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-18,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-19,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-20,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-21,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-24,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-25,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-26,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-04-27,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-03,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-04,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-05,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-08,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-10,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2017-05-11,ma200_switch_00685L,1.0,1.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
